Name,ID,Resid,int IParticleId,Headresid,palette,nLevel,type,camp,exp,expcoefficient,prizeholdstrategy,Speed_B,attackspeed,hp,mp,Close_A,Powder_A,Magic_A,Builder_A,Close_D,Powder_D,Magic_D,Builder_D_B,Base_D,Ω¸’Ω±©ª˜¬ ,ª“©±©ª˜¬ ,ƒß∑®±©ª˜¬ ,π•≥«±©ª˜¬ ,Ω¸’Ω±©ª˜µ»º∂,ª“©±©ª˜µ»º∂,ƒß∑®±©ª˜µ»º∂,π•≥«±©ª˜µ»º∂,Dead_Def,±©ª˜…À∫¶º”≥…¬ ,hit,dodge,Aiid,nBeAttackRadius ,nWinPoint,nWinMorale,nWinMoney,nGetExploit,EXPLOIT,nGetMoney,CanTalk,nCanntDie,lTalkResId,lBuildRadius,int nBornMsgType;,int nDieMsgType;,isBOSS,nNoOccupant,nUpShowResID,FissionMonster,int nShowName,ShowLevel,nOpenSoundID,nCloseSoundID,CanntSelected
ƒß¡ÈƒæƒÀ“¡,801045,21399,,444,,45,4,2,,,5,400,1000,6450,,510,,,,62,,,,299,,,,,,,,,184,,1000,,2284,0,,,,234,702,,,,,,,,,,,,1,1,,,
,801046,,,444,,46,4,2,,,5,400,1000,6850,,523,,,,65,,,,313,,,,,,,,,184,,1000,,,0,,,,243,727,,,,,,,,,,,,1,1,,,
—“ƒß’Ω ø,801047,2816,,444,,47,4,2,,,5,400,1000,7312,,540,,,,69,,,,330,,,,,,,,,184,,1000,,2308,0,,,,251,752,,,,,,,,,,,,1,1,,,
—“ƒß’Ω ø,801048,2816,,444,,48,4,2,,,5,400,1000,7666,,554,,,,76,,,,343,,,,,,,,,184,,1000,,2308,0,,,,259,777,,,,,,,,,,,,1,1,,,
Õˆ¡È∆Ô ø,801049,17164,,444,,49,4,2,,,5,400,1000,8010,,574,,,,83,,,,356,,,,,,,,,184,,1000,,2296,0,,,,268,803,,,,,,,,,,,,1,1,,,
Õˆ¡È∆Ô ø,801050,17164,,444,,50,4,2,,,5,400,1000,8351,,588,,,,90,,,,374,,,,,,,,,184,,1000,,2296,0,,,,276,828,,,,,,,,,,,,1,1,,,
ƒæƒÀ“¡’ΩΩ´,801051,30949,,444,,51,4,2,,,5,400,1000,8666,,602,,,,95,,,,388,,,,,,,,,130,,1000,,2308,0,,,,296,887,,,,,,,,,,,,1,1,,,
ƒ‹ÃÏ π,801052,29643,,444,,52,4,2,,,5,400,1000,9001,,626,,,,100,,,,402,,,,,,,,,130,,1000,,2296,0,,,,296,887,,,,,,,,,,,,1,1,,,
—“ƒßæﬁ¥∏’Ω ø,801053,2837,,444,,53,4,2,,,5,400,1000,9405,,649,,,,101,,,,415,,,,,,,,,130,,1000,,2284,0,,,,296,887,,,,,,,,,,,,1,1,,,
,801054,,,444,,54,4,2,,,5,400,1000,9812,,676,,,,101,,,,430,,,,,,,,,141,,1000,,,0,,,,296,887,,,,,,,,,,,,1,1,,,
»Ÿ“´Ω£ ø,801055,29274,,444,,55,4,2,,,5,400,1000,10299,,700,,,,102,,,,444,,,,,,,,,141,,1000,,2296,0,,,,316,946,,,,,,,,,,,,1,1,,,
,801056,,,444,,56,4,2,,,5,400,1000,12762,,460,,,,,,,,,,,,,,,,,169,,1000,,2149,0,,,,338,1014,,,,,,,,,,,,1,1,,,
,801057,,,444,,57,4,2,,,5,400,1000,13018,,468,,,,,,,,,,,,,,,,,190,,1000,,2149,0,,,,349,1045,,,,,,,,,,,,1,1,,,
,801058,,,444,,58,4,2,,,5,400,1000,13274,,475,,,,,,,,,,,,,,,,,190,,1000,,2149,0,,,,359,1076,,,,,,,,,,,,1,1,,,
,801059,,,444,,59,4,2,,,5,400,1000,13530,,483,,,,,,,,,,,,,,,,,190,,1000,,2149,0,,,,369,1106,,,,,,,,,,,,1,1,,,
,801060,,,444,,60,4,2,,,5,400,1000,13786,,491,,,,,,,,,,,,,,,,,190,,1000,,2149,0,,,,403,1208,,,,,,,,,,,,1,1,,,
,801061,,,444,,61,4,2,,,5,400,1000,14933,,489,,,,,,,,,,,,,,,,,200,,1000,,2149,0,,,,414,1241,,,,,,,,,,,,1,1,,,
,801062,,,444,,62,4,2,,,5,400,1000,15436,,505,,,,,,,,,,,,,,,,,200,,1000,,2149,0,,,,425,1273,,,,,,,,,,,,1,1,,,
,801063,,,444,,63,4,2,,,5,400,1000,15912,,520,,,,,,,,,,,,,,,,,200,,1000,,2149,0,,,,436,1306,,,,,,,,,,,,1,1,,,
,801064,,,444,,64,4,2,,,5,400,1000,16388,,536,,,,,,,,,,,,,,,,,200,,1000,,2149,0,,,,447,1339,,,,,,,,,,,,1,1,,,
,801065,,,444,,65,4,2,,,5,400,1000,16878,,551,,,,,,,,,,,,,,,,,200,,1000,,2149,0,,,,457,1371,,,,,,,,,,,,1,1,,,
,801066,,,444,,66,4,2,,,5,400,1000,18374,,566,,,,,,,,,,,,,,,,,148,,1000,,2149,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801067,,,444,,67,4,2,,,5,400,1000,18893,,582,,,,,,,,,,,,,,,,,148,,1000,,2149,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801068,,,444,,68,4,2,,,5,400,1000,19411,,597,,,,,,,,,,,,,,,,,148,,1000,,2149,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801069,,,444,,69,4,2,,,5,400,1000,19930,,613,,,,,,,,,,,,,,,,,161,,1000,,2149,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801070,,,444,,70,4,2,,,5,400,1000,20434,,628,,,,,,,,,,,,,,,,,161,,1000,,2149,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801071,,,444,,71,4,2,,,5,400,1000,22116,,643,,,,,,,,,,,,,,,,,194,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801072,,,444,,72,4,2,,,5,400,1000,22648,,659,,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801073,,,444,,73,4,2,,,5,400,1000,23180,,674,,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801074,,,444,,74,4,2,,,5,400,1000,23742,,689,,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801075,,,444,,75,4,2,,,5,400,1000,24259,,705,,,,,,,,,,,,,,,,,219,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801076,,,444,,76,4,2,,,5,400,1000,26128,,717,,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801077,,,444,,77,4,2,,,5,400,1000,27600,,748,,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801078,,,444,,78,4,2,,,5,400,1000,29088,,780,,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801079,,,444,,79,4,2,,,5,400,1000,30576,,811,,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801080,,,444,,80,4,2,,,5,400,1000,32064,,842,,,,,,,,,,,,,,,,,232,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801081,,,444,,81,4,2,,,5,400,1000,35213,,874,,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801082,,,444,,82,4,2,,,5,400,1000,36792,,905,,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801083,,,444,,83,4,2,,,5,400,1000,38354,,936,,,,,,,,,,,,,,,,,178,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801084,,,444,,84,4,2,,,5,400,1000,39900,,968,,,,,,,,,,,,,,,,,192,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,801085,,,444,,85,4,2,,,5,400,1000,41462,,998,,,,,,,,,,,,,,,,,272,,1000,,0,0,,,,0,0,,,,,,,,,,,,1,1,,,
,802001,,,444,,1,5,2,,,5,360,1000,200,,1,,,,0,,,,0,,,,,,,,,70,,1000,,,0,,,,1,3,,,,,,,,,,,,1,1,,,
,802002,,,444,,2,5,2,,,5,360,1000,321,,2,,,,0,,,,0,,,,,,,,,70,,1000,,,0,,,,2,6,,,,,,,,,,,,1,1,,,
±‰“Ïƒ‡Ω¨π÷,802003,29017,,444,,3,5,2,,,5,360,1000,442,,4,,,,0,,,,0,,,,,,,,,70,,1000,,2287,0,,,,3,9,,,,,,,,,,,,1,1,,,
,802004,,,444,,4,5,2,,,5,360,1000,563,,6,,,,0,,,,0,,,,,,,,,97,,1000,,,0,,,,4,12,,,,,,,,,,,,1,1,,,
”◊ƒÍª®ºπ ﬁ,802005,12101,,444,,5,5,2,,,5,360,1000,684,,9,,,,0,,,,0,,,,,,,,,97,,1000,,2305,0,,,,5,15,,,,,,,,,,,,1,1,,,
∆Ω‘≠Õ≠ø«π÷æ´”¢,802006,15492,,444,,6,5,2,,,5,360,1000,805,,14,,,,0,,,,0,,,,,,,,,150,,1000,,2145,0,,,,6,18,,,,,,,,,,,,1,1,,,
˜˙ ÛÃΩÀ˜∂”‘±,802007,3199,,444,,7,5,2,,,5,360,1000,926,,18,,,,0,,,,0,,,,,,,,,150,,1000,,2305,0,,,,7,21,,,,,,,,,,,,1,1,,,
”◊ƒÍª®ºπ ﬁ,802008,12101,,444,,8,5,2,,,5,360,1000,1047,,23,,,,0,,,,0,,,,,,,,,150,,1000,,2305,0,,,,8,24,,,,,,,,,,,,1,1,,,
ªƒÒÕ®—∂±¯,802009,29178,,444,,9,5,2,,,5,360,1000,1168,,29,,,,0,,,,0,,,,,,,,,150,,1000,,2293,0,,,,9,27,,,,,,,,,,,,1,1,,,
,802010,,,444,,10,5,2,,,5,360,1000,1289,,36,,,,0,,,,0,,,,,,,,,176,,1000,,,0,,,,10,30,,,,,,,,,,,,1,1,,,
µÿæ´ ÿŒ¿,802011,28930,,444,,11,4,2,,,5,400,1000,1410,,45,,,,0,,,,0,,,,,,,,,110,,1000,,2276,0,,,,12,36,,,,,,,,,,,,1,1,,,
ª˙≈´÷”¡ÈÕ∑ƒø,802012,29002,,444,,12,4,2,,,5,400,1000,1531,,56,,,,0,,,,0,,,,,,,,,110,,1000,,2282,0,,,,14,42,,,,,,,,,,,,1,1,,,
ªƒÒÕ®—∂±¯æ´”¢,802013,21004,,444,,13,4,2,,,5,400,1000,1652,,64,,,,0,,,,0,,,,,,,,,110,,1000,,2294,0,,,,16,48,,,,,,,,,,,,1,1,,,
«æﬁ±∫˛”Œª˜ ø,802014,29212,,444,,14,4,2,,,5,400,1000,1773,,73,,,,0,,,,0,,,,,,,,,120,,1000,,2294,0,,,,18,54,,,,,,,,,,,,1,1,,,
‡Ω‡Ω ﬁ,802015,29049,,444,,15,4,2,,,5,400,1000,1894,,84,,,,0,,,,0,,,,,,,,,120,,1000,,2306,0,,,,20,60,,,,,,,,,,,,1,1,,,
Œ¡“ﬂ πƒß,802016,29037,,444,,16,4,2,,,5,400,1000,2015,,95,,,,0,,,,5,,,,,,,,,147,,1000,,2306,0,,,,22,66,,,,,,,,,,,,1,1,,,
˜˙ ÛÃΩÀ˜∂”∂”≥§,802017,3199,,444,,17,4,2,,,5,400,1000,2136,,105,,,,0,,,,6,,,,,,,,,167,,1000,,2306,0,,,,24,72,,,,,,,,,,,,1,1,,,
«æﬁ±∫˛”Œª˜ ø,802018,29212,,444,,18,4,2,,,5,400,1000,2257,,115,,,,0,,,,7,,,,,,,,,167,,1000,,2294,0,,,,26,78,,,,,,,,,,,,1,1,,,
Œ¡“ﬂ πƒß,802019,29037,,444,,19,4,2,,,5,400,1000,2378,,125,,,,0,,,,10,,,,,,,,,167,,1000,,2306,0,,,,28,84,,,,,,,,,,,,1,1,,,
«æﬁ±∫˛”Œª˜ ø,802020,29212,,444,,20,4,2,,,5,400,1000,2499,,135,,,,0,,,,15,,,,,,,,,167,,1000,,2294,0,,,,30,90,,,,,,,,,,,,1,1,,,
,802021,,,444,,21,4,2,,,5,400,1000,2620,,145,,,,0,,,,17,,,,,,,,,177,,1000,,,0,,,,33,99,,,,,,,,,,,,1,1,,,
–˝Œ≤ ﬁ,802022,16515,,444,,22,4,2,,,5,400,1000,2741,,157,,,,0,,,,21,,,,,,,,,177,,1000,,2276,0,,,,36,108,,,,,,,,,,,,1,1,,,
,802023,,,444,,23,4,2,,,5,400,1000,2862,,168,,,,0,,,,23,,,,,,,,,177,,1000,,,0,,,,39,117,,,,,,,,,,,,1,1,,,
,802024,,,444,,24,4,2,,,5,400,1000,2983,,179,,,,0,,,,30,,,,,,,,,177,,1000,,,0,,,,42,126,,,,,,,,,,,,1,1,,,
,802025,,,444,,25,4,2,,,5,400,1000,3100,,195,,,,0,,,,39,,,,,,,,,177,,1000,,,0,,,,45,135,,,,,,,,,,,,1,1,,,
