物品ID,名字,描述,物品详细描述(127汉字),物品类型描述,物品栏图片,地上图片,缩小图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求等级,需求状态,死亡掉落几率,获取绑定,装备绑定,销毁标志,出售标志,买入价格,水晶币买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切地图消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,作用ID1,背包续时油需求个数,装备降级类型
208,[特殊]中小型能量药水,等级要求:36级。瞬间回复600点能量。,★  [a]用途：[/][255:0:255]瞬间+600能量[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]冷却时间20秒[/],药品,53165,53165,53165,3,2,1,6000,0,36,0,0,,,,,810,810,0,9,,,1000,1,-1,1,,-1,,208,,,,,,,,0,,,,,,117,,
209,[特殊]中型能量药水,等级要求:51级。瞬间回复800点能量。,★  [a]用途：[/][255:0:255]瞬间+800能量[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]冷却时间20秒[/],药品,53166,53166,53166,4,2,1,6000,0,51,0,0,,,,,1620,1620,0,17,,,1000,1,-1,1,,-1,,209,,,,,,,,0,,,,,,117,,
210,[特殊]大型能量药水,等级要求:66级。瞬间回复1000点能量。,★  [a]用途：[/][255:0:255]瞬间+1000能量[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]冷却时间20秒[/],药品,53167,53167,53167,5,2,1,6000,0,66,0,0,,,,,2430,2430,0,25,,,1000,1,-1,1,,-1,,210,,,,,,,,0,,,,,,117,,
211,能量烈酒,等级要求:11级。增加能量上限250，使用时间1小时。,★  [a]用途：[/]★  [255:0:255]+250能量上限，效果持续时间1小时#★  [a]获取：[/]商城出售#★  [a]说明：[/]允许连续使用，使用时间累加上限为[255:0:255]90小时[/]，下线不计时#★  [r]特别提醒：[/][255:0:255]能量烈酒[/]和[255:0:255]醇香能量烈酒[/]如果交替使用，效果会互相替换（之前叠加的时间也将消失），千万谨慎使用,特殊道具,57147,57147,57147,2,2,1,6000,0,11,0,0,,,,,1000,1000,0,10,,,1000,1,-1,1,,-1,,0,,,,,,,,0,,,,,,211,,
212,醇香能量烈酒,等级要求:41级。增加能量上限350，使用时间1小时。,★  [a]用途：[/]★  [255:0:255]+350能量上限，效果持续时间1小时#★  [a]获取：[/]商城出售#★  [a]说明：[/]允许连续使用，使用时间累加上限为[255:0:255]90小时[/]，下线不计时#★  [r]特别提醒：[/][255:0:255]能量烈酒[/]和[255:0:255]醇香能量烈酒[/]如果交替使用，效果会互相替换（之前叠加的时间也将消失），千万谨慎使用,特殊道具,57148,57148,57148,2,2,1,0,0,41,0,0,,,,,3000,3000,0,30,,,1000,1,-1,1,,-1,,0,,,,,,,,0,,,,,,212,,
213,[极品]中小型能量药水,等级要求:26级。持续10秒，+78能量/2秒。,★  [a]用途：[/]持续10秒，[255:0:255]+78能量/2秒#★  [a]说明：[/][255:0:255]受到攻击立即停止回复[/],药品,80022,80022,80022,3,2,1,0,0,26,0,0,,,,,100,100,0,,,,1000,1,-1,0,,-1,,203,,,,,,,,0,,,,,,204,,
214,[极品]中型能量药水,等级要求:51级。持续10秒，+95能量/2秒。,★  [a]用途：[/]持续10秒，[255:0:255]+95能量/2秒#★  [a]说明：[/][255:0:255]受到攻击立即停止回复[/],药品,80023,80023,80023,4,2,1,0,0,51,0,0,,,,,500,500,0,,,,1000,1,-1,0,,-1,,204,,,,,,,,0,,,,,,205,,
215,[极品]小型能量药水,等级要求:16级。持续10秒，+61能量/2秒。,★  [a]用途：[/]持续10秒，[255:0:255]+61能量/2秒#★  [a]说明：[/][255:0:255]受到攻击立即停止回复[/],药品,80021,80021,80021,2,2,1,0,0,16,0,0,,,,,50,50,0,,,,1000,1,-1,0,,-1,,202,,,,,,,,0,,,,,,203,,
250,[一档]圣果,等级要求:31级。恢复2000生命,★  [a]用途：[/]使用后立刻恢复2000生命#★  [a]说明：[/][255:0:255]只能在野外使用[/]，浮空岛内无法使用，[255:0:255]冷却时间1秒[/],药品,53041,53041,53041,2,2,1,0,0,31,0,0,,,,,100,500,0,10,,,9999,1,-1,1,,-1,,901,,,,,,,,0,,,,,,117,,
301,微型生命回复剂,每秒恢复6%生命，持续5秒；,★  持续5秒，[a]+6%生命/秒。[/]#★  [y]移动、死亡、被击时效果取消。[/],药品,80003,80003,80003,1,2,1,0,0,0,2,0,,,,,30,30,0,,,,1000,1,-1,0,,-1,,301,,,,,,,,0,,,,,,301,,
302,小型生命回复剂,每秒恢复8%生命，持续5秒；,★  持续5秒，[a]+8%生命/秒。[/]#★  [y]移动、死亡、被击时效果取消。[/],药品,80003,80003,80003,2,2,1,0,0,11,2,0,,,,,50,50,0,,,,1000,1,-1,0,,-1,,302,,,,,,,,0,,,,,,302,,
303,中小型生命回复剂,每秒恢复10%生命，持续5秒；,★  持续5秒，[a]+10%生命/秒。[/]#★  [y]移动、死亡、被击时效果取消。[/],药品,80003,80003,80003,3,2,1,0,0,26,2,0,,,,,80,80,0,,,,1000,1,-1,0,,-1,,303,,,,,,,,0,,,,,,303,,
304,中型生命回复剂,每秒恢复12%生命，持续5秒；,★  持续5秒，[a]+12%生命/秒。[/]#★  [y]移动、死亡、被击时效果取消。[/],药品,80003,80003,80003,4,2,1,0,0,51,2,0,,,,,100,100,0,,,,1000,1,-1,0,,-1,,304,,,,,,,,0,,,,,,304,,
305,大型生命回复剂,每秒恢复14%生命，持续5秒；,★  持续5秒，[a]+14%生命/秒。[/]#★  [y]移动、死亡、被击时效果取消。[/],药品,80003,80003,80003,5,2,1,0,0,66,2,0,,,,,200,200,0,,,,1000,1,-1,0,,-1,,305,,,,,,,,0,,,,,,305,,
306,[一档]士气药酒,瞬间提高士气700，只能在拉锯浮空岛中使用,★  [a]用途：[/]瞬间提高士气700，[255:0:255]只能在拉锯浮空岛中使用[/]#★  [a]说明：[/]任何一方城堡被摧毁一次后，双方都可以使用士气药酒，冷却时间10分钟,特殊道具,104445,104445,104445,1,2,1,0,0,0,0,0,,,,,400,400,,4,,,1000,1,-1,0,,-1,,306,,,,,,,,0,,,,,,306,,
307,[二档]士气药酒,瞬间提高士气1400，只能在拉锯浮空岛中使用,★  [a]用途：[/]瞬间提高士气1400，[255:0:255]只能在拉锯浮空岛中使用[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]等级必须达到16级，任何一方城堡被摧毁一次后，双方都可以使用士气药酒，冷却时间10分钟,特殊道具,104447,104447,104447,2,2,1,0,0,16,0,0,,,,,600,600,,6,,,1000,1,-1,1,,-1,,307,,,,,,,,0,,,,,,306,,
308,[三档]士气药酒,瞬间提高士气2100，只能在拉锯浮空岛中使用,★  [a]用途：[/]瞬间提高士气2100，[255:0:255]只能在拉锯浮空岛中使用[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]等级必须达到31级，任何一方城堡被摧毁一次后，双方都可以使用士气药酒，冷却时间10分钟,特殊道具,104449,104449,104449,3,2,1,0,0,31,0,0,,,,,800,800,,8,,,1000,1,-1,1,,-1,,308,,,,,,,,0,,,,,,306,,
309,[一档]超级士气药酒,瞬间提高士气1500，只能在拉锯浮空岛中使用,★  [a]用途：[/]瞬间提高士气1500，[255:0:255]只能在拉锯浮空岛中使用[/]#★  [a]说明：[/]任何一方城堡被摧毁一次后，双方都可以使用士气药酒，冷却时间10分钟,特殊道具,104446,104446,104446,1,2,1,0,0,0,0,0,,,,,600,600,,6,,,1000,1,-1,0,,-1,,309,,,,,,,,0,,,,,,306,,
310,[二档]超级士气药酒,瞬间提高士气2800，只能在拉锯浮空岛中使用,★  [a]用途：[/]瞬间提高士气2800，[255:0:255]只能在拉锯浮空岛中使用[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]等级必须达到16级，任何一方城堡被摧毁一次后，双方都可以使用士气药酒，冷却时间10分钟,特殊道具,104448,104448,104448,2,2,1,0,0,16,0,0,,,,,900,900,,9,,,1000,1,-1,1,,-1,,310,,,,,,,,0,,,,,,306,,
311,[三档]超级士气药酒,瞬间提高士气3800，只能在拉锯浮空岛中使用,★  [a]用途：[/]瞬间提高士气3800，[255:0:255]只能在拉锯浮空岛中使用[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]等级必须达到31级，任何一方城堡被摧毁一次后，双方都可以使用士气药酒，冷却时间10分钟,特殊道具,104450,104450,104450,3,2,1,0,0,31,0,0,,,,,1100,1100,,11,,,1000,1,-1,1,,-1,,311,,,,,,,,0,,,,,,306,,
312,[一档]超级点金手套,瞬间秒杀敌方小兵获得额外士气150点,,特殊道具,104476,104476,104476,1,2,1,0,0,0,0,0,,,,,150,150,,2,,,1000,1,-1,0,,-1,,312,,,,,,,,0,,,,,,312,,
313,[二档]超级点金手套,瞬间秒杀敌方小兵获得额外士气280点,,特殊道具,104477,104477,104477,2,2,1,0,0,16,0,0,,,,,300,300,,3,,,1000,1,-1,1,,-1,,313,,,,,,,,0,,,,,,313,,
314,[三档]超级点金手套,瞬间秒杀敌方小兵获得额外士气420点,,特殊道具,104478,104478,104478,3,2,1,0,0,31,0,0,,,,,600,600,,6,,,1000,1,-1,1,,-1,,314,,,,,,,,0,,,,,,314,,
315,超级点金手套,瞬间秒杀敌方小兵获得额外士气,★  [a]用途：[/]对生物使用需要消耗手套，使用后立刻秒杀目标生物并且获得额外士气#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]只能在拉锯浮空岛中使用[/]，没有等级限制，冷却时间1分钟，不能对玩家和BOSS使用,特殊道具,104476,104476,104476,2,2,1,0,0,0,0,0,,,,,200,200,,2,,,1000,1,-1,1,,-1,,312,,,,,,,,0,,,,,,315,,
316,[四档]士气药酒,瞬间提高士气3000，只能在拉锯浮空岛中使用,★  [a]用途：[/]瞬间提高士气3000，[255:0:255]只能在拉锯浮空岛中使用[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]等级必须达到41级，任何一方城堡被摧毁一次后，双方都可以使用士气药酒，冷却时间10分钟,特殊道具,1220,1220,1220,4,2,1,0,0,41,0,0,,,,,1100,1100,,11,,,1000,1,-1,1,,-1,,308,,,,,,,,0,,,,,,306,,
317,[四档]超级士气药酒,瞬间提高士气4800，只能在拉锯浮空岛中使用,★  [a]用途：[/]瞬间提高士气4800，[255:0:255]只能在拉锯浮空岛中使用[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/]等级必须达到41级，任何一方城堡被摧毁一次后，双方都可以使用士气药酒，冷却时间10分钟,特殊道具,1221,1221,1221,4,2,1,0,0,41,0,0,,,,,1300,1300,,13,,,1000,1,-1,1,,-1,,311,,,,,,,,0,,,,,,306,,
401,微型能量回复剂,每秒恢复6%能量，持续5秒；,★  持续5秒，[a]+6%能量/秒。[/]#★  [y]移动、死亡、被击时效果取消。[/],药品,80001,80001,80001,1,2,1,0,0,0,2,0,,,,,30,30,0,,,,1000,1,-1,0,,-1,,201,,,,,,,,0,,,,,,401,,
402,小型能量回复剂,每秒恢复8%能量，持续5秒；,★  持续5秒，[a]+8%能量/秒，[/]移动、死亡、被击时效果取消。,药品,80001,80001,80001,2,2,1,0,0,11,2,0,,,,,50,50,0,,,,1000,1,-1,0,,-1,,201,,,,,,,,0,,,,,,402,,
403,中小型能量回复剂,每秒恢复10%能量，持续5秒；,★  持续5秒，[a]+10%能量/秒，[/]移动、死亡、被击时效果取消。,药品,80001,80001,80001,3,2,1,0,0,26,2,0,,,,,80,80,0,,,,1000,1,-1,0,,-1,,201,,,,,,,,0,,,,,,403,,
404,中型能量回复剂,每秒恢复12%能量，持续5秒；,★  持续5秒，[a]+12%能量/秒，[/]移动、死亡、被击时效果取消。,药品,80001,80001,80001,4,2,1,0,0,51,2,0,,,,,100,100,0,,,,1000,1,-1,0,,-1,,201,,,,,,,,0,,,,,,404,,
405,大型能量回复剂,每秒恢复14%能量，持续5秒；,★  持续5秒，[a]+14%能量/秒，[/]移动、死亡、被击时效果取消。,药品,80001,80001,80001,5,2,1,0,0,66,2,0,,,,,200,200,0,,,,1000,1,-1,0,,-1,,201,,,,,,,,0,,,,,,405,,
