物品ID,名字,描述(31汉字),物品详细描述（127汉字）,物品类型描述,物品栏图片,物品栏图片,物品栏图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,为1表示：物品不可以丢弃销毁,出售标志,买入价格,购物卷买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切换地图是否消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,生活材料描述
80009,绿鹦石结晶,**暂无**,,材料,52030,52030,52030,5,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80010,孔雀蓝钻,六档近战装备(不包括披风、指环和项链),★  [a]用途：[/]六档近战装备（不包括披风、指环和项链）#★  [a]获取：[/]六档金属探测器#★  [a]说明：[/]不详,材料,52019,52019,52019,6,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80011,孔雀蓝钻结晶,**暂无**,,材料,52020,52020,52020,6,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80012,白水晶,一档魔法装备(不包括披风、指环和项链),★  [a]用途：[/]一档魔法装备（不包括披风、指环和项链）#★  [a]获取：[/]无#★  [a]说明：[/]无,材料,52014,52014,52014,1,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80013,绿水晶,二档魔法装备(不包括披风、指环和项链)、技能元素制造原料,★  [a]用途：[/]二档魔法装备（不包括披风、指环和项链）、技能元素制造原料#★  [a]获取：[/]二档水晶探测器#★  [a]说明：[/][255:0:255]采集绿水晶时需要装备黄铜锤[/]（新手商人有出售）,材料,52017,52017,52017,2,3,1,5026,0,,0,0,,,,,300,300,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【二档资源采集区】自己建设水晶采集场进行采集或者【按M键查看】寻找其它玩家建设的水晶采集场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在新手商人购买【二档水晶探测器】，右键使用探测器可以探出二档水晶进行采集#★  [a]采集工具[/]：【黄铜锤】
80014,蓝水晶,三档魔法装备(不包括披风、指环和项链),★  [a]用途：[/]三档魔法装备（不包括披风、指环和项链）#★  [a]获取：[/]三档水晶探测器#★  [a]说明：[/][255:0:255]采集蓝水晶时需要装备白银锤[/]（水晶采集6级可以制造）,材料,52018,52018,52018,3,3,1,5026,0,,0,0,,,,,400,400,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【三档资源采集区】自己建设水晶采集场进行采集或者【按M键查看】寻找其它玩家建设的水晶采集场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在生产供应商购买【三档水晶探测器】，右键使用探测器可以探出三档水晶进行采集#★  [a]采集工具[/]：【白银锤】
80015,紫水晶,四档魔法装备(不包括披风、指环和项链),★  [a]用途：[/]四档魔法装备（不包括披风、指环和项链）#★  [a]获取：[/]四档水晶探测器#★  [a]说明：[/][255:0:255]采集紫水晶时需要装备镶金锤[/]（水晶采集12级可以制造）,材料,52015,52015,52015,4,3,1,5026,0,,0,0,,,,,500,500,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法[/]：在生产供应商购买【四档水晶探测器】，右键使用探测器可以探出四档水晶进行采集#★  [a]采集工具[/]：【镶金锤】
80016,橙水晶,五档魔法装备(不包括披风、指环和项链),★  [a]用途：[/]五档魔法装备（不包括披风、指环和项链）#★  [a]获取：[/]五档水晶探测器#★  [a]说明：[/]不详,材料,52013,52013,52013,5,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80017,红水晶,六档魔法装备(不包括披风、指环和项链),★  [a]用途：[/]六档魔法装备（不包括披风、指环和项链）#★  [a]获取：[/]六档水晶探测器#★  [a]说明：[/]不详,材料,52016,52016,52016,6,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80018,桃木,一档火药装备(不包括披风、指环和项链),★  [a]用途：[/]一档火药装备（不包括披风、指环和项链）#★  [a]获取：[/]无#★  [a]说明：[/]无,材料,52032,52032,52032,1,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80019,赤松,二档火药装备(不包括披风、指环和项链)、技能元素制造原料,★  [a]用途：[/]二档火药装备（不包括披风、指环和项链）、技能元素制造原料#★  [a]获取：[/]二档木材探测器#★  [a]说明：[/][255:0:255]采集赤松时需要装备黄铜斧[/]（新手商人有出售）,材料,52036,52036,52036,2,3,1,5001,0,,0,0,,,,,300,300,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【二档资源采集区】自己建设伐木场进行采集或者【按M键查看】寻找其它玩家建设的伐木场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在新手商人购买【二档木材探测器】，右键使用探测器可以探出二档木材进行采集#★  [a]采集工具[/]：【黄铜斧】
80020,枫木,三档火药装备(不包括披风、指环和项链),★  [a]用途：[/]三档火药装备（不包括披风、指环和项链）#★  [a]获取：[/]三档木材探测器#★  [a]说明：[/][255:0:255]采集枫木时需要装备白银斧[/]（伐木6级可以制造）,材料,52031,52031,52031,3,3,1,5001,0,,0,0,,,,,400,400,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【三档资源采集区】自己建设伐木场进行采集或者【按M键查看】寻找其它玩家建设的伐木场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在生产供应商购买【三档木材探测器】，右键使用探测器可以探出三档木材进行采集#★  [a]采集工具[/]：【白银斧】
80021,芭蕉木,四档火药装备(不包括披风、指环和项链),★  [a]用途：[/]四档火药装备（不包括披风、指环和项链）#★  [a]获取：[/]四档木材探测器#★  [a]说明：[/][255:0:255]采集芭蕉木时需要装备镶金斧[/]（伐木12级可以制造）,材料,52034,52034,52034,4,3,1,5001,0,,0,0,,,,,500,500,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法[/]：在生产供应商购买【四档木材探测器】，右键使用探测器可以探出四档木材进行采集#★  [a]采集工具[/]：【镶金斧】
80022,蝴蝶木,五档火药装备(不包括披风、指环和项链),★  [a]用途：[/]五档火药装备（不包括披风、指环和项链）#★  [a]获取：[/]五档木材探测器#★  [a]说明：[/]不详,材料,52035,52035,52035,5,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80023,百叶木,六档火药装备(不包括披风、指环和项链),★  [a]用途：[/]六档火药装备（不包括披风、指环和项链）#★  [a]获取：[/]六档木材探测器#★  [a]说明：[/]不详,材料,52033,52033,52033,6,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80024,黄金麦芒,烹饪食物制造原料,★  [a]用途：[/]烹饪食物制造原料#★  [a]获取：[/]无#★  [a]说明：[/]无,材料,52003,52003,52003,1,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80025,恶魔红果,烹饪食物制造原料,★  [a]用途：[/]烹饪食物制造原料#★  [a]获取：[/]二档植物探测器#★  [a]说明：[/][255:0:255]采集恶魔红果时需要装备黄铜镰[/]（新手商人有出售）,材料,52005,52005,52005,2,3,1,5003,0,,0,0,,,,,12,12,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【二档资源采集区】自己建设农场进行采集或者【按M键查看】寻找其它玩家建设的农场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在新手商人购买【二档植物探测器】，右键使用探测器可以探出二档植物进行采集#★  [a]采集工具[/]：【黄铜镰】
80026,水晶笋,烹饪食物制造原料,★  [a]用途：[/]烹饪食物制造原料#★  [a]获取：[/]三档植物探测器#★  [a]说明：[/][255:0:255]采集水晶笋时需要装备白银镰[/]（植物采集6级可以制造）,材料,52006,52006,52006,3,3,1,5003,0,,0,0,,,,,36,36,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【三档资源采集区】自己建设农场进行采集或者【按M键查看】寻找其它玩家建设的农场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在生产供应商购买【三档植物探测器】，右键使用探测器可以探出三档植物进行采集#★  [a]采集工具[/]：【白银镰】
80027,辣椒,烹饪食物制造原料,★  [a]用途：[/]烹饪食物制造原料#★  [a]获取：[/]四档植物探测器#★  [a]说明：[/][255:0:255]采集辣椒时需要装备镶金镰[/]（植物采集12级可以制造）,材料,52010,52010,52010,4,3,1,5003,0,,0,0,,,,,108,108,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法[/]：在生产供应商购买【四档植物探测器】，右键使用探测器可以探出四档植物进行采集#★  [a]采集工具[/]：【镶金镰】
80028,大豆,烹饪食物制造原料,★  [a]用途：[/]烹饪食物制造原料#★  [a]获取：[/]五档植物探测器#★  [a]说明：[/]不详,材料,52002,52002,52002,5,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80029,龙爪葱,烹饪食物制造原料,★  [a]用途：[/]烹饪食物制造原料#★  [a]获取：[/]六档植物探测器#★  [a]说明：[/]不详,材料,52012,52012,52012,6,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80030,菠萝草,药品制造原料,★  [a]用途：[/]药品制造原料#★  [a]获取：[/]无#★  [a]说明：[/]无,材料,52008,52008,52008,1,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80031,狐狸薄荷,药品制造原料,★  [a]用途：[/]药品制造原料#★  [a]获取：[/]无#★  [a]说明：[/]无,材料,52004,52004,52004,2,3,1,0,0,,0,0,,,,,12,12,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80032,鹦鹉花,药品制造原料,★  [a]用途：[/]药品制造原料#★  [a]获取：[/]无#★  [a]说明：[/]无,材料,52011,52011,52011,3,3,1,0,0,,0,0,,,,,36,36,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80033,荔枝花,**暂无**,,**暂无**,52007,52007,52007,4,3,1,0,0,,0,0,,,,,108,108,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80034,豁心麦,**暂无**,,**暂无**,52009,52009,52009,5,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80035,龙鳞花,**暂无**,,**暂无**,52001,52001,52001,6,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80036,劣质骨头,一档（项链、指环、披风）,★  [a]用途：[/]一档（项链、指环、披风）#★  [a]获取：[/]无#★  [a]说明：[/]无,材料,52039,52039,52039,1,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80037,普通骨头,二档（项链、指环、披风）、技能元素制造原料,★  [a]用途：[/]二档（项链、指环、披风）、技能元素制造原料#★  [a]获取：[/]二档狩猎探测器#★  [a]说明：[/][255:0:255]采集普通骨头时需要装备黄铜刃[/]（新手商人有出售）,材料,52042,52042,52042,2,3,1,5004,0,,0,0,,,,,300,300,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【二档资源采集区】自己建设牧场进行采集或者【按M键查看】寻找其它玩家建设的牧场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在新手商人购买【二档狩猎探测器】，右键使用探测器可以探出烈焰龙进行采集#★  [a]采集工具[/]：【黄铜刃】
80038,精品骨头,三档（项链、指环、披风）,★  [a]用途：[/]三档（项链、指环、披风）#★  [a]获取：[/]三档狩猎探测器#★  [a]说明：[/][255:0:255]采集精品骨头时需要装备白银刃[/]（狩猎6级可以制造）,材料,52045,52045,52045,3,3,1,5004,0,,0,0,,,,,400,400,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【三档资源采集区】自己建设牧场进行采集或者【按M键查看】寻找其它玩家建设的牧场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在生产供应商购买【三档狩猎探测器】，右键使用探测器可以探出霸王龙进行采集#★  [a]采集工具[/]：【白银刃】
80039,优质骨头,四档（项链、指环、披风）,★  [a]用途：[/]四档（项链、指环、披风）#★  [a]获取：[/]四档狩猎探测器#★  [a]说明：[/][255:0:255]采集优质骨头时需要装备镶金刃[/]（狩猎12级可以制造）,材料,52048,52048,52048,4,3,1,5004,0,,0,0,,,,,500,500,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法[/]：在生产供应商购买【四档狩猎探测器】，右键使用探测器可以探出三角龙进行采集#★  [a]采集工具[/]：【镶金刃】
80040,劣质毛皮,**暂无**,,**暂无**,52037,52037,52037,1,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80041,普通毛皮,**暂无**,,**暂无**,52040,52040,52040,2,3,1,0,0,,0,0,,,,,12,12,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80042,精品毛皮,**暂无**,,**暂无**,52043,52043,52043,3,3,1,0,0,,0,0,,,,,36,36,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80043,优质毛皮,**暂无**,,**暂无**,52046,52046,52046,4,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80044,劣质肉,**暂无**,,**暂无**,52038,52038,52038,1,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80045,普通肉,**暂无**,,**暂无**,52041,52041,52041,2,3,1,0,0,,0,0,,,,,12,12,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80046,精品肉,**暂无**,,**暂无**,52044,52044,52044,3,3,1,0,0,,0,0,,,,,36,36,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80047,优质肉,**暂无**,,**暂无**,52047,52047,52047,4,3,1,0,0,,0,0,,,,,108,108,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80048,一档盾和武器制造配方,一档所有武器、盾牌制造所需配方,★  [a]用途：[/]一档所有武器、盾牌制造所需配方#★  [a]获取：[/]无#★  [a]说明：[/]无,配方,57029,57029,57029,1,3,5,0,0,,0,0,,,,,852,852,0,9,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,★  [a]用途：[/]一档所有武器、盾牌制造所需配方#★  [a]获取：[/]无#★  [a]说明：[/]无
80049,二档盾和武器制造配方,二档所有武器、盾牌制造所需配方,★  [a]用途：[/]二档所有武器、盾牌制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造二档武器和二档盾牌时会消耗该配方,配方,57029,57029,57029,2,3,5,8003,0,,0,0,,,,,800,800,0,11,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]用途：[/]二档所有武器、盾牌制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造二档武器和二档盾牌时会消耗该配方
80050,三档盾和武器制造配方,三档所有武器、盾牌制造所需配方,★  [a]用途：[/]三档所有武器、盾牌制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造三档武器和三档盾牌时会消耗该配方,配方,57029,57029,57029,3,3,5,8004,0,,0,0,,,,,900,900,0,26,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]用途：[/]三档所有武器、盾牌制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造三档武器和三档盾牌时会消耗该配方，[255:0:255]主城找英雄大厅的引导者可以兑换低一档配方[/]
80051,四档盾和武器制造配方,四档所有武器、盾牌制造所需配方,★  [a]用途：[/]四档所有武器、盾牌制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造四档武器和四档盾牌时会消耗该配方,配方,57029,57029,57029,4,3,5,8005,0,,0,0,,,,,1000,1000,0,106,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]用途：[/]四档所有武器、盾牌制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造四档武器和四档盾牌时会消耗该配方，[255:0:255]主城找英雄大厅的引导者可以兑换低一档配方[/]
80052,五档盾和武器制造配方,五档所有武器、盾牌制造所需配方,★  [a]用途：[/]五档所有武器、盾牌制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造五档武器和五档盾牌时会消耗该配方，[255:0:255]主城找英雄大厅的引导者可以兑换低一档配方[/],配方,57029,57029,57029,5,3,5,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]用途：[/]五档所有武器、盾牌制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造五档武器和五档盾牌时会消耗该配方，[255:0:255]主城找英雄大厅的引导者可以兑换低一档配方[/]
80053,六档盾和武器制造配方,**暂无**,,**暂无**,57029,57029,57029,6,3,5,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80054,七档盾和武器制造配方,**暂无**,,**暂无**,57029,57029,57029,7,3,5,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80055,八档盾和武器制造配方,**暂无**,,**暂无**,57029,57029,57029,8,3,5,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80056,九档盾和武器制造配方,**暂无**,,**暂无**,57029,57029,57029,9,3,5,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80057,十档盾和武器制造配方,**暂无**,,**暂无**,57029,57029,57029,10,3,5,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80058,誓言条约,**暂无**,,**暂无**,57026,57026,57026,7,3,1,0,0,,0,0,,,,,3840,3840,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80059,魔眼,**暂无**,,**暂无**,57016,57016,57016,7,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80060,冰封水晶,**暂无**,,**暂无**,57001,57001,57001,8,3,1,0,0,,0,0,,,,,3840,3840,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80061,薄荷龙鳞,**暂无**,,**暂无**,57002,57002,57002,8,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80062,蓝龙角,**暂无**,,**暂无**,57012,57012,57012,9,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80063,月亮水瓶,**暂无**,,**暂无**,57031,57031,57031,9,3,1,0,0,,0,0,,,,,1,1,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80064,一档防具制造配方,一档所有防具制造所需配方,★  [a]用途：[/]一档所有防具制造所需配方#★  [a]获取：[/]无#★  [a]说明：[/]无,配方,104316,104316,104316,1,3,5,0,0,,0,0,,,,,852,852,0,9,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,★  [a]用途：[/]一档所有防具制造所需配方#★  [a]获取：[/]无#★  [a]说明：[/]无
80065,二档防具制造配方,二档所有防具制造所需配方,★  [a]用途：[/]二档所有防具制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造二档防具时会消耗该配方,配方,104316,104316,104316,2,3,5,8003,0,,0,0,,,,,500,500,0,11,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]用途：[/]二档所有防具制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造二档防具时会消耗该配方
80066,三档防具制造配方,三档所有防具制造所需配方,★  [a]用途：[/]三档所有防具制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造三档防具时会消耗该配方,配方,104316,104316,104316,3,3,5,8004,0,,0,0,,,,,600,600,0,26,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]用途：[/]三档所有防具制造所需配方#★  [a]获取：[/]防守、拉锯、训练营浮空岛#★  [a]说明：[/]在使用生活技能制造三档防具时会消耗该配方，[255:0:255]主城找英雄大厅的引导者可以兑换低一档配方[/]
