1,名字,描述,物品详细描述(127汉字),物品类型描述,物品栏图片,地上图片,缩小图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,销毁标志,出售标志,买入价格,购物卷买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切换地图是否消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,参数1,参数2,参数3,参数4,luA函数名
23,三档修理棒,可以修理三档以下(包括三档)所有装备,★  [a]用途：[/]右键点击使用，选择要修理的装备。#★  [a]获取：[/]商城出售。#★  [a]说明：[/]可以修理三档以下(包括三档)所有装备。,修理工具,53169,53169,53169,3,2,8,5005,0,0,0,0,0,0,,0,50000,50000,0,30,,,1000,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
24,四档修理棒,可以修理四档以下(包括四档)所有装备,★  [a]用途：[/]右键点击使用，选择要修理的装备。#★  [a]获取：[/]商城出售。#★  [a]说明：[/]可以修理四档以下(包括四档)所有装备。,修理工具,53169,53169,53169,4,2,8,5005,0,0,0,0,0,0,,0,80000,80000,0,50,,,1000,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
25,钢珠猎枪抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造钢珠猎枪的生活面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,卷轴,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,200,200,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10157,25,100,1,
26,抄卷,可以抄写生活技能供其它玩家使用,★  [a]用途：[/]左键点击卷轴，移动到某个生活技能列表中的小能力上，点击左键开始抄写。#★  [a]获取：[/]商城出售。#★  [a]说明：[/][255:0:255]抄写好的卷轴[/]可以出售给其它玩家[255:0:255]使用卷轴上所抄写的生活技能[/]，抄卷可以反复抄写其它生活技能小能力。,卷轴,57003,57003,57003,2,2,5,5030,0,0,0,0,0,0,,0,1000,1000,0,10,,,1,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,100,1,
27,背包续时油,可以给背包增加使用时间的道具,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,修理工具,57022,57022,57022,2,2,9,0,0,0,0,0,0,0,,0,2500,2500,0,25,,,1000,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
40,猫人之盾抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10219,9,100,1,
41,树妖扫帚抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10099,9,100,1,
42,长筒狩猎步枪抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10159,9,100,1,
43,智者之书抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10129,9,100,1,
44,夺目钥匙抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10189,9,100,1,
45,钢铸胸甲抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11005,9,100,1,
46,钢铸头盔抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11095,9,100,1,
47,钢铸手套抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11185,9,100,1,
48,钢铸之靴抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11275,9,100,1,
49,钢铸腿甲抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11365,9,100,1,
50,钢铸腰带抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11455,9,100,1,
51,刺客飘带抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11604,9,100,1,
52,猛兽之眼抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11704,9,100,1,
53,猛兽之戒抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11804,9,100,1,
54,幻影之服抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11035,9,100,1,
55,幻影之帽抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11125,9,100,1,
56,幻影手套抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11215,9,100,1,
57,幻影马靴抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11305,9,100,1,
58,幻影护腿抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11395,9,100,1,
59,幻影腰带抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11485,9,100,1,
60,魔王之眼抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,12604,9,100,1,
61,鬼魅项链抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,12704,9,100,1,
62,鬼魅之戒抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,12804,9,100,1,
63,闪耀法袍抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11065,9,100,1,
64,闪耀头巾抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11155,9,100,1,
65,闪耀手套抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11245,9,100,1,
66,闪耀之靴抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11335,9,100,1,
67,闪耀护腿抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11425,9,100,1,
68,闪耀束带抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,11515,9,100,1,
69,鬼魅披肩抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,13604,9,100,1,
70,地狱项链抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,13704,9,100,1,
71,地狱之戒抄卷,抄卷,★  [a]用途：[/]右键点击卷轴打开制造面板，确认拥有相关材料后开始制造。#★  [a]获取：[/]无产出#★  [a]说明：[/]制造结束后抄卷消失，品质越高的抄卷，造出极品道具的可能性越大，制造成功率也越高。,抄卷,57003,57003,57003,1,2,5,0,0,0,0,0,0,0,,0,5000,5000,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,13804,9,100,1,
72,解绑珊瑚,可以给装备解绑的道具,"★  [a]用途：[/]右键点击解绑珊瑚，然后鼠标移动到需要解绑的装备上点击装备进行解绑。#★  [a]获取：[/]商城出售。#★  [a]说明：[/]解绑珊瑚只能[255:0:255]对一档,二档,三档，四档装备进行解绑。[/] 一档装备解绑消耗解绑珊瑚1个，二档装备解绑消耗解绑珊瑚2个，三档装备解绑消耗解绑珊瑚10个，四档装备解绑消耗解绑珊瑚20个。",解绑工具,57008,57008,57008,2,2,10,5005,0,0,0,0,0,0,,0,200000,200000,0,2000,,,9999,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
73,喜帖,婚礼道具,★  [a]用途：[/]教堂主办婚礼时，进入教堂的凭证。#★  [a]获取：[/]教堂预约成功后，在结婚助手处领取。#★  [a]说明：[/]进入教堂时请将喜帖放在背包的第一格。,婚礼道具,104388,104388,104388,1,2,11,0,0,0,0,0,0,0,,1,0,0,0,0,,,1,,-1,0,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
74,房契,房契,★  [a]用途：[/]购买房屋的凭证。#★  [a]获取：[/]房契商人出售。#★  [a]说明：[/]进入社区，在社区管理员那申请入住。,房契,104280,104280,104280,2,2,101,0,0,0,0,0,0,0,,0,0,0,0,0,,,1,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
75,时装续时油,可以给时装增加使用时间的道具，节日时装和活动时装不能使用,★  [a]用途：[/]右键使用，选择时装进行续时。#★  [a]获取：[/]商城出售。#★  [a]说明：[/]时装必须放入背包中才可以使用续时油。[255:0:255]特定时装不能使用。[/]成功续时后，时装使用时间增加一周。,修理工具,57023,57023,57023,2,2,12,5005,0,0,0,0,0,0,,0,5000,5000,0,100,,,1000,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
76,宠物胶囊,宠物胶囊,★  [a]用途：[/]右键使用宠物胶囊，可以获得一个宠物。#★  [a]获取：[/]快递任务产出。#★  [a]说明：[/]按“N”键可以查看宠物信息。,宠物胶囊,104743,104743,104743,2,2,13,5038,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
77,地契,地契,★  [a]用途：[/]右键使用，可以将社区的房屋创建在地契上描述的坐标。#★  [a]获取：[/]竞价购买获得。#★  [a]说明：[/]必须拥有房屋才能使用，有效时间1个月。,地契,104281,104281,104281,2,2,102,0,0,0,0,0,0,0,,0,0,0,0,0,,,1,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
78,载具胶囊,载具胶囊,★  [a]用途：[/]右键使用载具胶囊，可以获得一个载具。,载具胶囊,2026,2026,2026,2,2,31,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
30001,制造黄铜刃卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：金属采集,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,1,0,0,0,WorkSkill_StudySkillByGoods
30002,制造白银刃卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：金属采集,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,2,0,0,0,WorkSkill_StudySkillByGoods
30003,制造黄铜锄卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：水晶采集,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,3,0,0,0,WorkSkill_StudySkillByGoods
30004,制造白银锄卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：水晶采集,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,4,0,0,0,WorkSkill_StudySkillByGoods
30005,制造黄铜锤卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：伐木,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,5,0,0,0,WorkSkill_StudySkillByGoods
30006,制造白银锤卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：伐木,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,6,0,0,0,WorkSkill_StudySkillByGoods
30007,制造黄铜剪卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：植物采集,57045,57045,57045,1,2,4,0,0,0,0,0,0,0,,0,0,0,0,220,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,7,0,0,0,WorkSkill_StudySkillByGoods
30008,制造白银剪卷轴,技能学习卷轴,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,所属技能：植物采集,57045,57045,57045,2,2,4,0,0,0,0,0,0,0,,0,0,0,0,620,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,8,0,0,0,WorkSkill_StudySkillByGoods
