物品ID,名字,描述,物品详细描述(127汉字),物品类型描述,物品栏图片,地上图片,缩小图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,销毁标志,出售标志,买入价格,买入购物券,买入士气,点券购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切地图消失,冷却ID,排序等级,,,,,,,,BcmPickupMessage,long lDropCallLua,long lParam_1,long lParam_2,long lParam_3,需求技能,基本效果ID1,基本效果ID2,基本效果ID3,基本效果ID4,基本效果ID5,基本效果ID6,基本效果ID7,基本效果ID8,卡片数,卡片数,精炼等级?,最大耐久上限,装备种类,套装ID,攻击速度,攻击动作,鉴定费用,可装备的位置1,可装备的位置2,可装备的位置3,可装备的位置4,制造属性1的ID1，固定类型,制造属性2的ID2，固定类型,制造属性3的ID，不可升级,精炼属性ID,精炼的3级熟练度配置,lE_Slot_Min,lE_Slot_Max,部件ID1,男外形_游1,女外形_游1,男外形1,女外形1,部件ID2,男外形_游2,女外形_游2,男外形2,女外形2,部件ID3,男外形_游3,女外形_游3,男外形3,女外形3,lHideHair,lHideHair,lHideHair,能否升级,合成原料1,原料1数量,合成原料2,原料2数量,合成原料3,原料3数量,合成原料4,原料4数量,合成原料5,原料5数量,可镶嵌的宝石种类,可镶嵌的宝石档次上限,,long lULShowID[UL_STATEID_MAX],NeedSex,lAddCallLua,lNotShowBedeck,lAddTimeNeedNum,RepairPayforType,装备降级类型
6600,风之背囊 (1档),厚重的披风,,物理装备,66002,66002,66002,1,1,10,3002,0,10,0,0,0,1,0,0,108,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1017,1113,1209,,,,,,,3,,12800,18,,,,,3,-1,-1,-1,17,273,,16001+16001+16001+16001+16001+16001+16001+16001,5+10+20,,2,16,1580,1535,1570,1561,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+5+6+10,2,,,,,,,3,1
6601,刺客飘带 (2档),魔力的披风,,物理装备,66001,66001,66001,2,1,10,3002,0,21,0,0,0,1,0,0,120,500,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1018,1114,1210,,,,,,,3,,3456,18,,,,,3,-1,-1,-1,18,274,,16002+16002+16002+16002+16002+16002+16002+16002,6+12+24,,3,16,91,1532,380,1558,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+5+6+10,3,,,,,,,3,1
6602,怒焰披风 (3档),梦幻的披风,,物理装备,66004,66004,66004,3,1,10,3002,0,36,0,0,0,1,0,0,500,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1019,1115,1211,,,,,,,3,,3968,18,,,,,3,-1,-1,-1,19,275,,16003+16003+16003+16003+16003+25003+25003+25003,7+14+28,,3,16,92,287,381,478,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+5+6+10,4,,,,,,,3,1
6603,蝙蝠飘带 (4档),雕花的披风,,物理装备,66003,66003,66003,4,1,10,3002,0,61,0,0,0,1,0,0,1000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1020,1116,1212,,,,,,,3,,3968,18,,,,,3,-1,-1,-1,20,276,,16004+16004+16004+16004+16004+25004+25004+25004,8+16+32,,3,16,1581,1534,1571,1560,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+5+6+10,5,,,,,,,,1
6604,执政官披风 (5档),英雄的王者披风,,物理装备,66005,66005,66005,5,1,10,,0,76,0,0,0,1,0,0,1700,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1021,1117,1213,,,,,,,3,,3968,18,,,,,3,-1,-1,-1,21,277,,16005+16005+16005+16005+16005+25005+25005+25005,255+255+255,,3,16,1579,1533,1569,1559,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+5+6+10,6,,,,,,,,1
6605,6档物理披风 (6档),6档物理披风,,物理装备,66005,66005,66005,6,1,10,,0,85,0,0,0,1,0,0,3000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1022,1118,1214,,,,,,,3,,3968,18,,,,,3,-1,-1,-1,22,278,,16006+16006+16006+16006+16006+25006+25006+25006,255+255+255,,3,16,1579,1533,1569,1559,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+5+6+10,7,,,,,,,,1
6606,7档物理披风 (7档),7档物理披风,,物理装备,66005,66005,66005,7,1,10,,0,86,0,0,0,1,0,0,6000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1023,1119,1215,,,,,,,3,,3968,18,,,,,3,-1,-1,-1,23,279,,16007+16007+16007+16007+16007+25007+25007+25007,255+255+255,,3,16,1579,1533,1569,1559,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+5+6+10,8,,,,,,,,1
6607,8档物理披风 (8档),8档物理披风,,物理装备,66005,66005,66005,8,1,10,,0,86,0,0,0,1,0,0,12000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1024,1120,1216,,,,,,,3,,3968,18,,,,,3,-1,-1,-1,24,280,,16008+16008+16008+16008+16008+25008+25008+25008,255+255+255,,3,16,1579,1533,1569,1559,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+5+6+10,8,,,,,,,,1
6900,战鼓项链 (1档),厚重的项链,,物理装备,66502,66502,66502,1,1,4,3000,0,5,0,0,0,1,0,0,108,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1025,1121,1217,,,,,,,0,,12800,18,,,,,1,16,-1,-1,25,281,,2001+2001+2001+2001+42001+2001+5001+42001,5+10+20,,2,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,7+10,2,,,,,,,3,1
6901,猛兽之眼 (2档),魔力的项链,,物理装备,66501,66501,66501,2,1,4,3000,0,16,0,0,0,1,0,0,120,500,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1026,1122,1218,,,,,,,0,,3456,18,,,,,1,16,-1,-1,26,282,,2002+2002+2002+2002+42002+2002+2002+42002,6+12+24,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,7+10,3,,,,,,,3,1
6902,虎击项链 (3档),雕花的项链,,物理装备,66503,66503,66503,3,1,4,3000,0,31,0,0,0,1,0,0,500,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1027,1123,1219,,,,,,,3,,3968,18,,,,,1,16,-1,-1,27,283,,2003+2003+2003+2003+42003+2003+5003+42003,7+14+28,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,7+10,4,,,,,,,3,1
6903,恋人之心 (4档),梦幻的项链,,物理装备,66504,66504,66504,4,1,4,3000,0,56,0,0,0,1,0,0,1000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1028,1124,1220,,,,,,,3,,3968,18,,,,,1,16,-1,-1,28,284,,2004+2004+2004+2004+42004+2004+5004+42004,8+16+32,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,7+10,5,,,,,,,,1
6904,英雄的力量之泉 (5档),英雄的王者项链,,物理装备,66504,66504,66504,5,1,4,,0,71,0,0,0,1,0,0,1700,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1029,1125,1221,,,,,,,0,,3968,18,,,,,1,16,-1,-1,29,285,,2005+2005+2005+2005+42005+2005+5005+42005,255+255+255,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,7+10,6,,,,,,,,1
6905,6档物理项链*2 (6档),6档物理项链*2,,物理装备,66504,66504,66504,6,1,4,,0,85,0,0,0,1,0,0,3000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1030,1126,1222,,,,,,,0,,3968,18,,,,,1,16,-1,-1,30,286,,2006+2006+2006+2006+42006+2006+5006+42006,255+255+255,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,7+10,7,,,,,,,,1
6906,7档物理项链*2 (7档),7档物理项链*2,,物理装备,66504,66504,66504,7,1,4,,0,86,0,0,0,1,0,0,6000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1031,1127,1223,,,,,,,0,,3968,18,,,,,1,16,-1,-1,31,287,,2007+2007+2007+2007+42007+2007+5007+42007,255+255+255,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,7+10,8,,,,,,,,1
6907,8档物理项链*2 (8档),8档物理项链*2,,物理装备,66504,66504,66504,8,1,4,,0,86,0,0,0,1,0,0,12000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1032,1128,1224,,,,,,,0,,3968,18,,,,,1,16,-1,-1,32,288,,2008+2008+2008+2008+42008+2008+5008+42008,255+255+255,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,7+10,8,,,,,,,,1
8100,战鼓指环 (1档),厚重的指环,,物理装备,67002,67002,67002,1,1,8,3001,0,6,0,0,0,1,0,0,108,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1033,1129,,,,,,,,0,,12800,18,,,,,7,8,9,10,33,289,,1001+1001+2001+1001+2001+16001+16001+16001,5+10+20,,2,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+10,2,,,,,,,3,1
8101,猛兽之戒 (2档),魔力的指环,,物理装备,67001,67001,67001,2,1,8,3001,0,17,0,0,0,1,0,0,120,500,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1034,1130,,,,,,,,0,,3456,18,,,,,7,8,9,10,34,290,,1002+1002+2002+1002+2002+16002+16002+16002,6+12+24,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+10,3,,,,,,,3,1
8102,虎击指环 (3档),雕花的指环,,物理装备,67003,67003,67003,3,1,8,3001,0,32,0,0,0,1,0,0,500,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1035,1131,,,,,,,,3,,3968,18,,,,,7,8,9,10,35,291,,1003+1003+2003+1003+2003+25003+25003+25003,7+14+28,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+10,4,,,,,,,3,1
8103,恋人之戒 (4档),梦幻的指环,,物理装备,67004,67004,67004,4,1,8,3001,0,57,0,0,0,1,0,0,1000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1036,1132,,,,,,,,3,,3968,18,,,,,7,8,9,10,36,292,,1004+1004+2004+1004+2004+25004+25004+25004,8+16+32,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+10,5,,,,,,,,1
8104,英雄的力量指环 (5档),英雄的王者指环,,物理装备,67004,67004,67004,5,1,8,,0,72,0,0,0,1,0,0,1700,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1037,1133,,,,,,,,0,,3968,18,,,,,7,8,9,10,37,293,,1005+1005+2005+1005+2005+25005+25005+25005,255+255+255,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+10,6,,,,,,,,1
8105,6档物理戒指*4 (6档),6档物理戒指*4,,物理装备,67004,67004,67004,6,1,8,,0,85,0,0,0,1,0,0,3000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1038,1134,,,,,,,,0,,3968,18,,,,,7,8,9,10,38,294,,1006+1006+2006+1006+2006+25006+25006+25006,255+255+255,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+10,7,,,,,,,,1
8106,7档物理戒指*4 (7档),7档物理戒指*4,,物理装备,67004,67004,67004,7,1,8,,0,86,0,0,0,1,0,0,6000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1039,1135,,,,,,,,0,,3968,18,,,,,7,8,9,10,39,295,,1007+1007+2007+1007+2007+25007+25007+25007,255+255+255,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+10,8,,,,,,,,1
8107,8档物理戒指*4 (8档),8档物理戒指*4,,物理装备,67004,67004,67004,8,1,8,,0,86,0,0,0,1,0,0,12000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1040,1136,,,,,,,,0,,3968,18,,,,,7,8,9,10,40,296,,1008+1008+2008+1008+2008+25008+25008+25008,255+255+255,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,4+10,8,,,,,,,,1
4300,刽子手腰带 (1档),精制的腰带,,物理装备,64505,64505,64505,1,1,6,2002,0,1,0,0,0,1,0,0,108,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1041,1137,1225,,,,,,,3,,12800,16,1,,,,14,-1,-1,-1,41,297,,1001+1001+7001+7001+7001+16001+16001+16001,5+10+20,,2,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,10+7+9+15+23,2,,,,,,,3,1
4301,钢铸腰带 (2档),简陋的腰带,,物理装备,64502,64502,64502,2,1,6,2002,0,12,0,0,0,1,0,0,120,500,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1042,1138,1226,,,,,,,3,,3456,16,2,,,,14,-1,-1,-1,42,298,,1002+1002+7002+7002+7002+16002+16002+16002,6+12+24,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,10+7+9+15+23,3,,,,,,,3,1
4302,守护腰带 (3档),厚重的腰带,,物理装备,64501,64501,64501,3,1,6,2002,0,27,0,0,0,1,0,0,500,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1043,1139,1227,,,,,,,3,,3968,16,3,,,,14,-1,-1,-1,43,299,,1003+4003+7003+7003+7003+16003+16003+16003,7+14+28,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,10+7+9+15+23,4,,,,,,,3,1
4303,野蛮腰带 (4档),魔力的腰带,,物理装备,64504,64504,64504,4,1,6,2002,0,52,0,0,0,1,0,0,1000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1044,1140,1228,,,,,,,3,,3968,16,4,,,,14,-1,-1,-1,44,300,,1004+4004+7004+7004+7004+16004+16004+16004,8+16+32,,3,-1,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,,,10+7+9+15+23,5,,,,,,,,1
